drug_id,drug_name,target_id,target_name,drkg_drug_key,drkg_target_key,drug_node_idx,target_node_idx,score,source
DB11718,Encorafenib,CHEMBL3535,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",Compound::DB11718,Gene::5152,4058,1843,0.9145961681799024,esm2_only
DB06274,Alvimopan,CHEMBL2034,Glucocorticoid receptor,Compound::DB06274,Gene::2908,3241,293,0.9140035837171931,esm2_only
DB09195,Lorpiprazole,CHEMBL2034,Glucocorticoid receptor,Compound::DB09195,Gene::2908,5125,293,0.9137602647217912,esm2_only
DB06684,Vilazodone,CHEMBL228,Sodium-dependent serotonin transporter,Compound::DB06684,Gene::6532,4562,603,0.913107529584744,esm2_only
DB00204,Dofetilide,CHEMBL205,Carbonic anhydrase 2,Compound::DB00204,Gene::760,5502,1989,0.9127748372835904,esm2_only
DB06636,Isavuconazonium,CHEMBL3535,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",Compound::DB06636,Gene::5152,11821,1843,0.9121904395798016,esm2_only
DB01409,Tiotropium,CHEMBL2034,Glucocorticoid receptor,Compound::DB01409,Gene::2908,3281,293,0.91216270184017,esm2_only
DB01232,Saquinavir,CHEMBL205,Carbonic anhydrase 2,Compound::DB01232,Gene::760,373,1989,0.9120798033660354,esm2_only
DB12941,Darolutamide,CHEMBL3535,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",Compound::DB12941,Gene::5152,11836,1843,0.9118780230032112,esm2_only
DB12457,Rimegepant,CHEMBL234,D(3) dopamine receptor,Compound::DB12457,Gene::1816,5350,2075,0.9116475088444372,esm2_only
DB05667,Levoketoconazole,CHEMBL234,D(3) dopamine receptor,Compound::DB05667,Gene::1816,986,2075,0.911482809937498,esm2_only
DB00850,Perphenazine,CHEMBL2014,Nociceptin receptor,Compound::DB00850,Gene::4987,2901,1866,0.9111829267115276,esm2_only
DB00490,Buspirone,CHEMBL234,D(3) dopamine receptor,Compound::DB00490,Gene::1816,1321,2075,0.9104749829326276,esm2_only
DB09143,Sonidegib,CHEMBL234,D(3) dopamine receptor,Compound::DB09143,Gene::1816,2176,2075,0.9104604100540804,esm2_only
DB11995,Avatrombopag,CHEMBL3535,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",Compound::DB11995,Gene::5152,9115,1843,0.9100747520579252,esm2_only
DB01167,Itraconazole,CHEMBL2014,Nociceptin receptor,Compound::DB01167,Gene::4987,6227,1866,0.9099517259320232,esm2_only
DB01032,Probenecid,CHEMBL205,Carbonic anhydrase 2,Compound::DB01032,Gene::760,3071,1989,0.9098452848386116,esm2_only
DB06267,Udenafil,CHEMBL205,Carbonic anhydrase 2,Compound::DB06267,Gene::760,9113,1989,0.909804389514684,esm2_only
DB15442,Trilaciclib,CHEMBL1908389,Mitogen-activated protein kinase kinase kinase 12,Compound::DB15442,Gene::7786,3003,3956,0.9097545920248624,esm2_only
DB01324,Polythiazide,CHEMBL205,Carbonic anhydrase 2,Compound::DB01324,Gene::760,7784,1989,0.9096481141151636,esm2_only
DB11979,Elagolix,CHEMBL2034,Glucocorticoid receptor,Compound::DB11979,Gene::2908,1375,293,0.909434035356956,esm2_only
DB14083,Bisphenol A diglycidyl ether,CHEMBL264,Histamine H3 receptor,Compound::DB14083,Gene::57538,16309,24087,0.9094067139311118,esm2_only
DB14723,Larotrectinib,CHEMBL234,D(3) dopamine receptor,Compound::DB14723,Gene::1816,937,2075,0.9094046516934284,esm2_only
DB12612,Ozanimod,CHEMBL214,5-hydroxytryptamine receptor 1A,Compound::DB12612,Gene::3350,4216,2164,0.9093707770066278,esm2_only
