drug_id,drug_name,target_id,target_name,drkg_drug_key,drkg_target_key,drug_node_idx,target_node_idx,score,source,score_esm2,score_drkg
DB09195,Lorpiprazole,CHEMBL264,Histamine H3 receptor,Compound::DB09195,Gene::57538,5125,24087,0.9172745414184381,both,0.9129725037337318,0.9215765791031444
DB08815,Lurasidone,CHEMBL2034,Glucocorticoid receptor,Compound::DB08815,Gene::2908,1602,293,0.9166858135194604,both,0.9045974434422815,0.9287741835966394
DB06717,Fosaprepitant,CHEMBL2034,Glucocorticoid receptor,Compound::DB06717,Gene::2908,3433,293,0.9165879379414192,both,0.92181187042768,0.9113640054551584
DB01388,Mibefradil,CHEMBL3535,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",Compound::DB01388,Gene::5152,2034,1843,0.9162419708714402,both,0.9002530342497063,0.932230907493174
DB12095,Telotristat ethyl,CHEMBL3535,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",Compound::DB12095,Gene::5152,3338,1843,0.9161414717715857,both,0.9217423632385676,0.9105405803046036
DB11712,Tezacaftor,CHEMBL2014,Nociceptin receptor,Compound::DB11712,Gene::4987,10091,1866,0.9159933843559709,both,0.9138455329741496,0.918141235737792
DB14544,Hydrocortisone valerate,CHEMBL2034,Glucocorticoid receptor,Compound::DB14544,Gene::2908,9025,293,0.9157763543421134,both,0.9116299944588936,0.9199227142253332
DB08901,Ponatinib,CHEMBL2014,Nociceptin receptor,Compound::DB08901,Gene::4987,7187,1866,0.9157265152188936,both,0.9235645653718388,0.9078884650659484
DB09268,Picosulfuric acid,CHEMBL205,Carbonic anhydrase 2,Compound::DB09268,Gene::760,11527,1989,0.9155351484772731,both,0.9221876487862162,0.90888264816833
DB04868,Nilotinib,CHEMBL2034,Glucocorticoid receptor,Compound::DB04868,Gene::2908,6766,293,0.9154170475294734,both,0.9190636553054864,0.9117704397534604
DB15569,Sotorasib,CHEMBL3535,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",Compound::DB15569,Gene::5152,14956,1843,0.9153924970462632,both,0.9097106477094276,0.9210743463830988
DB15011,Avacopan,CHEMBL1908389,Mitogen-activated protein kinase kinase kinase 12,Compound::DB15011,Gene::7786,9159,3956,0.9152387220073788,both,0.9041231485854302,0.9263542954293272
DB06717,Fosaprepitant,CHEMBL1908389,Mitogen-activated protein kinase kinase kinase 12,Compound::DB06717,Gene::7786,3433,3956,0.9146705455475066,both,0.9229644852441232,0.90637660585089
DB00921,Buprenorphine,CHEMBL264,Histamine H3 receptor,Compound::DB00921,Gene::57538,11340,24087,0.9145625076867729,both,0.9263731781802363,0.9027518371933096
DB08816,Ticagrelor,CHEMBL2014,Nociceptin receptor,Compound::DB08816,Gene::4987,5640,1866,0.9145128060276331,both,0.9087796917679914,0.9202459202872748
DB00844,Nalbuphine,CHEMBL233,Mu-type opioid receptor,Compound::DB00844,Gene::4988,2203,155,0.9145066198021758,both,0.9228843198664048,0.9061289197379468
DB01104,Sertraline,CHEMBL238,Sodium-dependent dopamine transporter,Compound::DB01104,Gene::6531,106,1209,0.9144825458727862,both,0.9239940068725434,0.904971084873029
DB14723,Larotrectinib,CHEMBL214,5-hydroxytryptamine receptor 1A,Compound::DB14723,Gene::3350,937,2164,0.9140663506027304,both,0.903549085150996,0.924583616054465
DB06077,Lumateperone,CHEMBL214,5-hydroxytryptamine receptor 1A,Compound::DB06077,Gene::3350,1119,2164,0.9137575931422515,both,0.9106907349776926,0.9168244513068105
DB12457,Rimegepant,CHEMBL245,Muscarinic acetylcholine receptor M3,Compound::DB12457,Gene::1131,5350,1949,0.9136846229016293,both,0.9139583414112608,0.9134109043919978
DB00309,Vindesine,CHEMBL2034,Glucocorticoid receptor,Compound::DB00309,Gene::2908,978,293,0.9136627738065561,both,0.9067236888034582,0.9206018588096542
DB12523,Mizolastine,CHEMBL264,Histamine H3 receptor,Compound::DB12523,Gene::57538,10021,24087,0.9134450247388213,both,0.9175609141199974,0.909329135357645
DB00220,Nelfinavir,CHEMBL2034,Glucocorticoid receptor,Compound::DB00220,Gene::2908,262,293,0.9134162676733701,both,0.905603382881954,0.9212291524647864
DB01263,Posaconazole,CHEMBL2034,Glucocorticoid receptor,Compound::DB01263,Gene::2908,3948,293,0.9134054905715143,both,0.9168979858340868,0.909912995308942
DB13345,Dihydroergocristine,CHEMBL2034,Glucocorticoid receptor,Compound::DB13345,Gene::2908,11353,293,0.9133991989270103,both,0.9031070468690868,0.9236913509849336
DB11712,Tezacaftor,CHEMBL3535,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",Compound::DB11712,Gene::5152,10091,1843,0.9133625542805686,both,0.9107819924699996,0.9159431160911377
DB06077,Lumateperone,CHEMBL264,Histamine H3 receptor,Compound::DB06077,Gene::57538,1119,24087,0.9132204648247325,both,0.9130955319657312,0.9133453976837338
DB05667,Levoketoconazole,CHEMBL1908389,Mitogen-activated protein kinase kinase kinase 12,Compound::DB05667,Gene::7786,986,3956,0.9130194512597317,both,0.9005553025480099,0.9254835999714536
DB00482,Celecoxib,CHEMBL205,Carbonic anhydrase 2,Compound::DB00482,Gene::760,310,1989,0.9128992161979581,both,0.9098758063858592,0.915922626010057
DB15328,Ubrogepant,CHEMBL205,Carbonic anhydrase 2,Compound::DB15328,Gene::760,10560,1989,0.9128563305196562,both,0.9192681215177292,0.9064445395215832
DB04868,Nilotinib,CHEMBL1908389,Mitogen-activated protein kinase kinase kinase 12,Compound::DB04868,Gene::7786,6766,3956,0.9123420917857408,both,0.9131618073375898,0.9115223762338917
DB15091,Upadacitinib,CHEMBL3535,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",Compound::DB15091,Gene::5152,5596,1843,0.9121928715574812,both,0.9235561711912972,0.9008295719236652
DB00823,Ethynodiol diacetate,CHEMBL2034,Glucocorticoid receptor,Compound::DB00823,Gene::2908,881,293,0.9121371793341992,both,0.9166876244209212,0.9075867342474772
DB01591,Solifenacin,CHEMBL264,Histamine H3 receptor,Compound::DB01591,Gene::57538,1037,24087,0.911669223380713,both,0.9222388287465622,0.9010996180148638
DB11275,Epicriptine,CHEMBL2034,Glucocorticoid receptor,Compound::DB11275,Gene::2908,14876,293,0.9115880385010449,both,0.9064705306529208,0.9167055463491688
DB15568,Adagrasib,CHEMBL1908389,Mitogen-activated protein kinase kinase kinase 12,Compound::DB15568,Gene::7786,14955,3956,0.9114089473312046,both,0.9182998671163493,0.90451802754606
DB08901,Ponatinib,CHEMBL264,Histamine H3 receptor,Compound::DB08901,Gene::57538,7187,24087,0.9113155824090978,both,0.9051402574442242,0.9174909073739714
DB05667,Levoketoconazole,CHEMBL214,5-hydroxytryptamine receptor 1A,Compound::DB05667,Gene::3350,986,2164,0.9112644872827889,both,0.9145503563143909,0.9079786182511868
DB00673,Aprepitant,CHEMBL3535,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",Compound::DB00673,Gene::5152,835,1843,0.9111871876218607,both,0.9035880514558648,0.9187863237878564
DB00570,Vinblastine,CHEMBL2034,Glucocorticoid receptor,Compound::DB00570,Gene::2908,4543,293,0.911117217744994,both,0.9191219401305328,0.903112495359455
DB15035,Zanubrutinib,CHEMBL264,Histamine H3 receptor,Compound::DB15035,Gene::57538,3668,24087,0.9109046933022475,both,0.912013907992255,0.9097954786122402
DB00846,Flurandrenolide,CHEMBL2034,Glucocorticoid receptor,Compound::DB00846,Gene::2908,669,293,0.9107765534983777,both,0.9046521203789316,0.9169009866178238
DB11799,Bictegravir,CHEMBL2034,Glucocorticoid receptor,Compound::DB11799,Gene::2908,427,293,0.909932852053427,both,0.911079488410148,0.908786215696706
DB11995,Avatrombopag,CHEMBL1908389,Mitogen-activated protein kinase kinase kinase 12,Compound::DB11995,Gene::7786,9115,3956,0.9096964948241812,both,0.9087808640415598,0.9106121256068028
DB11712,Tezacaftor,CHEMBL264,Histamine H3 receptor,Compound::DB11712,Gene::57538,10091,24087,0.9086171264074347,both,0.9031873180775172,0.9140469347373522
DB06717,Fosaprepitant,CHEMBL205,Carbonic anhydrase 2,Compound::DB06717,Gene::760,3433,1989,0.9083120248211125,both,0.911916430059203,0.904707619583022
DB15011,Avacopan,CHEMBL2034,Glucocorticoid receptor,Compound::DB15011,Gene::2908,9159,293,0.9082809331059862,both,0.9014038283502424,0.91515803786173
DB06817,Raltegravir,CHEMBL205,Carbonic anhydrase 2,Compound::DB06817,Gene::760,27,1989,0.9079134055401842,both,0.9125604412432564,0.903266369837112
DB13955,Estradiol dienanthate,CHEMBL264,Histamine H3 receptor,Compound::DB13955,Gene::57538,3334,24087,0.9078385452069491,both,0.9080200510010712,0.9076570394128268
DB11691,Naldemedine,CHEMBL233,Mu-type opioid receptor,Compound::DB11691,Gene::4988,9248,155,0.9077736013002874,both,0.9131042515593352,0.9024429510412396
DB12874,Quizartinib,CHEMBL2014,Nociceptin receptor,Compound::DB12874,Gene::4987,6252,1866,0.9077219429337839,both,0.9049297246085556,0.9105141612590124
